eid,ktrans,meaning
herosync,히어로싱크,영웅의 동기화
herotrail,히어로트레일,영웅의 길
infinitecode,인피니트코드,무한 코드
infinitedream,인피니트드림,무한한 꿈
infiniteforge,인피니트포지,무한의 대장간
infinitehaven,인피니트헤이븐,무한 안식처
infiniteloop,인피니트루프,무한 반복
infinitetrail,인피니트트레일,무한의 길
lightcraft,라이트크래프트,빛의 창작
lightforge,라이트포지,빛의 대장간
lighthouse,라이트하우스,등대
lightmatrix,라이트매트릭스,빛의 구조
lightsync,라이트싱크,빛의 동기화
lighttrail,라이트트레일,빛의 흔적
logiccore,로직코어,논리의 중심
logiccraft,로직크래프트,논리의 창작
logicpulse,로직펄스,논리의 맥동
logictrail,로직트레일,논리의 흔적
metacore,메타코어,본질의 중심
moondance,문댄스,달의 춤
moonglow,문글로우,달빛의 빛남
moonlight,문라이트,달빛
moonrise,문라이즈,달이 떠오름
moonshadow,문섀도우,달 그림자
mysticforest,미스틱포레스트,신비로운 숲
mysticmoon,미스틱문,신비로운 달
mysticriver,미스틱리버,신비한 강
mysticwind,미스틱윈드,신비로운 바람
neoforge,네오포지,새로운 대장간
neospark,네오스파크,새로운 불꽃
neosync,네오싱크,새로운 동기화
neotrail,네오트레일,새로운 길
neovision,네오비전,새로운 시야
nextgen,넥스트젠,다음 세대
nextlogic,넥스트로직,다음 논리
nextpulse,넥스트펄스,다음의 맥동
nextsync,넥스트싱크,다음의 동기화
nextwave,넥스트웨이브,다음 물결
nightdream,나이트드림,밤의 꿈
nightlight,나이트라이트,야간 등불
nightowl,나이트아울,밤의 부엉이
nightshade,나이트쉐이드,밤의 그림자
oceanbliss,오션블리스,바다의 축복
oceanblue,오션블루,바다의 푸른 색
oceanbreeze,오션브리즈,바다의 바람
oceandepth,오션뎁스,바다의 깊이
oceanhorizon,오션호라이즌,바다의 수평선
oceanspray,오션스프레이,바다의 스프레이
oceanwave,오션웨이브,바다의 물결
pixelcore,픽셀코어,픽셀의 중심
pixeldream,픽셀드림,픽셀 속 꿈
pixelpulse,픽셀펄스,픽셀의 맥동
primehaven,프라임헤이븐,최고의 안식처
primelogic,프라임로직,최고의 논리
primesync,프라임싱크,최고의 동기화
primetrail,프라임트레일,최고의 길
pulsecraft,펄스크래프트,맥동의 창작
quantumcore,퀀텀코어,양자의 중심
quantumpath,퀀텀패스,양자 경로
quantumpulse,퀀텀펄스,양자의 맥동
quantumsphere,퀀텀스피어,양자의 구체
quantumtrail,퀀텀트레일,양자의 길
riverflow,리버플로우,강의 흐름
shadowdance,섀도우댄스,그림자의 춤
shadowflame,섀도우플레임,그림자의 불꽃
shadowflux,섀도우플럭스,그림자의 흐름
shadowhunter,섀도우헌터,그림자를 사냥하는 사람
shadowrealm,섀도우렐름,그림자의 영역
shadowwalker,섀도우워커,그림자를 걷는 사람
silentecho,사일런트에코,조용한 메아리
silentstep,사일런트스텝,조용한 발걸음
silentwaves,사일런트웨이브스,조용한 파도
silentwhisper,사일런트위스퍼,조용한 속삭임
silverlining,실버라이닝,구름의 은빛 가장자리
skydive,스카이다이브,스카이다이빙
skyfusion,스카이퓨전,하늘의 융합
skyhaven,스카이헤이븐,하늘의 안식처
skymatrix,스카이매트릭스,하늘의 구조
skypulse,스카이펄스,하늘의 맥동
skysync,스카이싱크,하늘의 동기화
skytrail,스카이트레일,하늘의 길
skywalker,스카이워커,하늘을 걷는 사람
smartcore,스마트코어,스마트한 중심
smartforge,스마트포지,스마트한 대장간
smartmatrix,스마트매트릭스,스마트한 구조
smartpath,스마트패스,스마트한 경로
smartwave,스마트웨이브,스마트한 물결
starbridge,스타브릿지,별의 다리
starbright,스타브라이트,밝은 별
starcore,스타코어,별의 중심
starcraft,스타크래프트,별의 창작
stardust,스타더스트,별의 먼지
starforge,스타포지,별을 만드는 대장간
stargazer,스타게이저,별을 보는 사람
starlight,스타라이트,별빛
starlogic,스타로직,별의 논리
starpath,스타패스,별의 길
starpulse,스타펄스,별의 맥동
starsync,스타싱크,별의 동기화
stormbreaker,스톰브레이커,폭풍을 부수는 사람
stormchaser,스톰체이서,폭풍을 쫓는 사람
sunbeam,선빔,햇살
sunflower,선플라워,해바라기
sunray,선레이,햇살
sunrise,선라이즈,해돋이
sunshine,선샤인,햇살
thinksphere,씽크스피어,생각의 구체
thunderbolt,썬더볼트,천둥의 번개
thundercloud,썬더클라우드,천둥구름
thunderroar,썬더로어,천둥의 포효
thunderstorm,썬더스톰,천둥의 폭풍
thunderstrike,썬더스트라이크,천둥의 강타
twilightzone,트와일라잇존,황혼의 지역
velvetsky,벨벳스카이,벨벳 같은 하늘
virtualcore,버추얼코어,가상의 중심
virtualhaven,버추얼헤이븐,가상의 안식처
virtuallogic,버추얼로직,가상의 논리
virtualpulse,버추얼펄스,가상의 맥동
virtualtrail,버추얼트레일,가상의 흔적
visionforge,비전포지,비전의 대장간
visionloop,비전루프,비전의 순환
visionpath,비전패스,비전의 길
visionpulse,비전펄스,비전의 맥동
waverider,웨이브라이더,파도를 타는 사람
wilddream,와일드드림,야생의 꿈
wildecho,와일드에코,야생의 메아리
wildflower,와일드플라워,야생 꽃
wildheart,와일드하트,야생의 심장
wildriver,와일드리버,야생의 강
wildspirit,와일드스피릿,야생의 정신
winterbloom,윈터블룸,겨울의 꽃
